id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM2449608_Control	0.0199642928713866	0	0.00244575467997689	0.196083787452254	0.159238769824259	0	0.0403220900574719	0	0.028029182004688	0	0.140482737560796	0	0.109198223031208	0	0.0038870556143846	0	0.00949652865263403	0.00717215513730671	0.00477532364649918	0	0	0.278904099467136
GSM2449609_Control	0.0293184736662487	0.00871450453502689	0	0.147802958657772	0.124350530360129	0	0.0683982587703339	0	0	0	0.133818783177531	0	0.226537298702659	0	0	0	0	0.000290284521642401	0.00275737031583595	0	0	0.258011537292821
GSM2449610_Control	0.0412802784293841	0	0	0.189821162343223	0.100504665080813	0	0.0750824422116127	0	0.0030766877862026	0	0.169837054308758	0	0.195026244457489	0	0	0	0.000830762449391077	0.00189602371659197	0.0126861409376174	0	0	0.209958538278917
GSM2449611_Control	0.00747647583677535	0	0.00124497889318557	0.222801307176011	0.0920817695573715	0	0.0386276065450974	0	0.00960716975082318	0	0.183880285438094	0	0.180897067565535	0	0	0	0.00114122928266184	0.000104702831001902	0.00824028965860198	0	0	0.253897117464842
GSM2449612_Control	0.0199792975052058	0	0.00623958119166617	0.189145450558402	0.114515689027775	0	0.045300459547869	0	0.0387028217798878	0	0.105773754121594	0	0.127681432006492	0	0.00374363735590439	0	0.0108005244440826	0.0116377142896514	0.00787315051825037	0	0	0.318606487653219
GSM2449613_Control	0.0292515640255738	0	0.00840832491873938	0.0776575527820458	0.106864038266517	0	0.0440036986792378	0	0.010899665657841	0.00700050697293296	0.149421496854251	0	0.104711713011284	0	0.00261539265447585	0	0.00561502384178113	0.000826018689204999	0	0	0	0.452725003646116
GSM2449614_Control	0.0399690936643688	0	0	0.145108606794887	0.156118526351046	0	0.0352444213377027	0	0.00967817591830248	0	0.0853678029161603	0	0.0804951385240475	0	0	0	0	0.00392125875189839	0.00245556431796817	0	0	0.441641411423619
GSM2449615_Control	0.00357948537383217	0	8.53632066855252e-05	0.25901814703925	0.0790487311219199	0	0.0360542278288636	0	0.0182946974961633	0	0.152948025840979	0	0.114600958577069	0	0.00267697558434379	0	0.0079689769666575	0.00219750558476893	0	0	0	0.323526905379467
GSM2449616_Control	0.0233812192481521	0	0.00657003480997852	0.140489638953928	0.126635904980041	0	0.0299043045152328	0	0.0168571596644836	0	0.117227888594904	0	0.157621360467312	0	0.000361867325514436	0	0	0.00713976769674937	0.00934148357081028	0	0.00900621733292855	0.355463152839965
GSM2449617_Control	0.022633946761384	0	0.000108119045298723	0.194669998213645	0.0942928664832424	0	0.0436801822577134	0	0.0309125543071456	0	0.145150251893219	0	0.102233938089355	0	0.00367595474440665	0	0.00658757515548441	0.000470389022166148	0	0	0	0.355584224026939
GSM2449618_Control	0.0135302391357097	0	0.00548204906350206	0.20479614988732	0.150333234695811	0	0.00808197881921493	0	0.00842383145738245	0	0.103573824688612	0	0.0856751781533828	0	0	0	0	0.00322429431650363	0.00788134287070425	0	0	0.408997876911857
GSM2449619_Control	0.0290399058471841	0	0.00968152150635346	0.128047497513848	0.0828809237761299	0	0.0662128358730873	0	0	0	0.181214628968754	0	0.130967894203573	0	0.0050725456288578	0	0.00531673431337317	0.0122947108106898	0	0.00120609235943978	0	0.34806470919871
GSM2449620_Control	0.0316640307939759	0	0.00860820072103412	0.0975654102925445	0.104196230262661	0	0.0444333951309628	0	0.00213015764296815	0	0.139640325690273	0	0.128330635231374	0	0	0	0	0.00259862778740653	0.00404645956902391	0	0	0.436786526877776
GSM2449621_Control	0.011934558718309	0	0.000479984020694972	0.138841629958839	0.115974313690776	0	0.0652342246319462	0	0.00195770914049826	0	0.149918321473905	0	0.135682951115629	0.00795553336752564	0	0	0	0	0.00187470131323808	0	0	0.370146072568639
GSM2449622_Control	0.0218235675196383	0.00613215582112711	0.00430625525021216	0.0278832744744165	0.13802894021327	0.0109607416362092	0.0419155407099687	0	0	0.0373316656893084	0.138933000906996	0	0.0877942159803505	0	0	0	0	0.0079906722340127	0.00758782665892836	0	0.0453806943093457	0.423931448596216
GSM2449623_Control	0	0.0104436665969141	0.00411031430246795	0.150694090093208	0.124237849170518	0	0.035491421141295	0	0.0265090401742062	0	0.146630892713835	0	0.129543914218757	0	0.00251512041023514	0	0.00523079796459607	0.00836471836275083	0	0.00547909154358259	0	0.350749083307634
GSM2449624_Control	0.0220295684531528	0	0	0.201692031052365	0.239879060646515	0	0.0184948839460795	0	0.0206238112439915	0	0.0986155506243105	0	0.0771395895269142	0	0	0	0.00208845125705922	0.000536006815885442	0.00889947166906484	0	0	0.310001574764662
GSM2449625_Control	0.0202567377873409	0	0.00413342503372981	0.148770860846148	0.144707617126632	0	0.0496191633301698	0	0.000763346625456931	0	0.11287775530514	0	0.109134799934134	0	0	0	0	0.0060377364818389	0.0151939739120623	0	0	0.388504583617348
GSM2449626_Control	0.0175500030629775	0	0.00392963347361565	0.0810231984649838	0.156631612940757	0	0.0756901094329493	0	0.00662670229738083	0	0.180486426391056	0	0.0935012721359916	0	0.0038803196316393	0	0.00823318532640245	0	0	0	0	0.372447536842247
GSM2449627_Control	0.000704842103971271	0	0.00586884324827073	0.17448114621906	0.144732200465147	0	0.05399383707706	0	0.0245189860958157	0	0.174568454197725	0	0.103606468873133	0	0.00447748868471667	0	0.0105190515684986	0	0	0	0	0.302528681466602
GSM2449628_Control	0.00421613862191835	0.0124128386808192	0.000385973693144247	0.147868639156736	0.173590589463123	0	0.0385307855877053	0	0.0304944168041618	0	0.120699753683237	0	0.0653191090406889	0	0.00303369408365163	0	0.00759043334921843	1.47758788340905e-05	0	0	0	0.395842851956763
GSM2449629_Control	0.0643880144617911	0	0	0.180588285852541	0.154295853456008	0	0.0460335715340017	0	0.0311953734350618	0	0.109031319903346	0	0.112034230205286	0	0.00356855221373379	0	0.0076478013547489	0.00707513703764515	0.0176949681032433	0	0	0.266446892442594
GSM2449630_Control	0	0.0036427625956254	0.00554988090856909	0.099289184662139	0.0791789292471775	0	0.033701297843085	0	0	0	0.169763174942971	0	0.228459929942418	0	0	0	0	0.00148678297958036	0	0	0	0.378928056878435
GSM2449631_Control	0.0279448311478336	0	0	0.18436845513195	0.119589502372109	0	0.0548945322689125	0	0	0	0.152618596971317	0	0.154285596710243	0	0	0	0	0	0.00931598399860223	0	0	0.296982501399034
GSM2449632_Control	0.017108712627951	0	7.58304755639289e-05	0.111537817513957	0.123042316027814	0	0.0426792616678302	0	0	0	0.135643933232287	0	0.163567566256821	0.00507080350502873	0	0	0	0	0.00430225431932341	0	0	0.396971504373423
GSM2449633_Control	0.013637088469726	0.000496397442921215	0	0.128110092158203	0.0745413032074067	0	0.0529311636719624	0	0.00205147128219882	0	0.146823396710145	0	0.196364071235246	0	0	0	0	0	0.0104827432883178	0	0	0.374562272533874
GSM2449634_Control	0.02126348210254	0.00192981211888331	0.000444853692548521	0.203467811175887	0.0974241826927423	0	0.05967991462829	0	0.00719181925976153	0	0.188441621012506	0	0.186215393605819	0	0	0	0.000470672122041359	0	0.00350567800964691	0	0	0.229964759579335
GSM2449635_Control	0.0243553210926714	0	0	0.153491341450985	0.0959948443520151	0	0.0400690832637986	0	0.00867973814679389	0	0.188029073612729	0	0.143305901997794	0	0	0	0	0.00369593831815903	0	0	0	0.342378757765054
GSM2449636_Control	0.00751905198826146	0	0.00503772830004733	0.0985379326511793	0.187508000710724	0	0.0358204125584491	0	0.0273506312883483	0	0.127426812396908	0	0.0950082766495563	0	0.00277161093059928	0	0	0.000630833225329139	0.0138533193136856	0	0	0.398535389986912
GSM2449637_Control	0.00900008838011922	0	0.00486338195792815	0.138379747288744	0.104507129155377	0	0.0600969120975983	0	0.0105661012527257	0	0.143517365117574	0	0.156341493332906	0.00294779796784439	0.0015309732743725	0	0.00743429541550706	0.00401120888839753	0	0.00241752968341323	0	0.354385976187494
GSM2449668_Control	0.0309856493587519	0	0	0.12548297980655	0.125527785573909	0	0.0541844947505264	0	0.00733529230697211	0	0.142696031204531	0	0.137682703205737	0	0	0	0	0.00239377732476979	0.00838558588027843	0	0	0.365325700587974
GSM2449669_Control	0.0259270592466432	0	0.000840298778098297	0.0979595487901363	0.146558953613769	0	0.0308914798588874	0	0	0.0427981638942987	0.136447974767815	0	0.220398306478411	0	0	0	0	0.0030477102678058	0.00462456854286284	0	0	0.290505935761272
GSM2449670_Control	0.021217277057454	0	0	0.190588471079827	0.166056502744087	0	0.0393451198202109	0	0.000268800451366578	0	0.107146489503002	0	0.157757899869161	0	0	0	0.000260442706141459	0.00640704307962818	0.0127877983100115	0	0	0.298164155379111
GSM2449671_Control	0.0167004706432768	0.00104009022106912	0.00198577370255448	0.134455707030199	0.128609089676032	0	0.0254194317509712	0	0.00264455112613772	0	0.0596296783153624	0	0.211861966915036	0	0	0	0	0	0.0189986294833052	0	0	0.398654611136056
GSM2449672_Control	0.0401230187291299	0	0.000364101483368964	0.0546705215124809	0.0844523103993892	0	0.0397560383604746	0	0.00154503073229706	0	0.190980191170969	0	0.212051350570455	0	0	0	0	0	0	0	0	0.376057437041435
GSM2449673_Control	0.0246399400335187	0	0.00299832637107278	0.218732450119761	0.157642955976675	0	0.0389318537732312	0	0.0255972676721227	0	0.132050255504937	0	0.109454203896709	0	0.00362582619128796	0	0.00894390658051271	0.00818358124396658	0.000427567806860766	0	0	0.268771864829345
GSM2449674_Control	0.0285014808454304	0	0.00139044956943352	0.234323898284172	0.110691267061191	0	0.049828656878322	0	0.00155461731998271	0	0.137961128280082	0	0.19890779963731	0	0	0	0.0010782032925166	0.00410273128903675	0.0155688665590022	0	0	0.216090900983521
GSM2449675_Control	0.031869041079086	0	0	0.0746021699636632	0.09781684713595	0	0.0347783019740727	0	0	0.00932324788594833	0.141455359051581	0	0.157935548080076	0	0	0	0	0	0.00226162649730143	0	0	0.449957858332321
GSM2449676_Control	0.00359011219001576	3.35738181182951e-07	0.00272856875444639	0.161529695943171	0.146043105000921	0	0.039702780414936	0	0.0288153918115263	0	0.20934152462332	0	0.0846106216670608	0	0.00411266819394461	0	0.00878185776158115	0	0	0	0	0.310743337900895
GSM2449677_Control	0.0523928001544682	0	0	0.172445279763508	0.158227211471413	0	0.0510360065003441	0	0.0280737385519303	0	0.14433661351616	0	0.100862777698637	0	0.00333995644111953	0	0.00691663348298556	0.000787788962489208	0.0035838876767559	0	0	0.277997305780189
GSM2449678_Control	0	0	0.0063279141003029	0.121445427927076	0.0677387790336198	0	0.0311781612974294	0	0	0	0.169128523515277	0	0.216206905384489	0	0	0	0	0.00196814340991762	0	0	0	0.386006145331889
GSM2449679_Control	0.0195887938516264	0	0.00140151128335871	0.157786257919509	0.092063629440079	0	0.0442804848468824	0	0.0079680835263449	0	0.201707109424745	0	0.137903922811705	0	0	0	0	0.00371975211997653	0.00287449606233418	0	0	0.330705958713438
GSM2449680_Control	0.0171005941628173	0	0	0.124134123066622	0.113684399851548	0	0.0744045133805202	0	0.00233670671021778	0	0.134378151144205	0	0.178893952276316	0	0	0	0	0.000934069858733772	0.00510903230863483	0	0	0.349024457240385
GSM2449638_Treat	0.00174378250034189	0	0.00612090628456122	0.0606214344236885	0.118502392582566	0	0.0461136287262313	0	0	0.0271910121654574	0.0864794682507785	0	0.121720929921747	0	9.84188649358224e-05	0	0.000933395830217746	0	0	0	0	0.530474630449475
GSM2449639_Treat	0.0424179178708802	0	0.00197806594877448	0.0689370225719816	0.153360210976229	0	0.0366905359312303	0	0	0	0.142129722448015	0	0.191778715973159	0	0	0	0	0.0024825265011128	0.0233272113873071	0	0	0.33689807039131
GSM2449640_Treat	0.0135032501455923	0	0.00290117027764772	0.0987658363575897	0.0635334617660826	0	0.0476127115551354	0	0.00187495994183096	0	0.142880106122039	0	0.146459500309925	0.00291332391247004	0	0	0	0.00174938927021975	0.00477808187142114	0	0	0.473028208470047
GSM2449641_Treat	0.00712446566749684	0.00253272741552037	0.00357522934880507	0.0741798251543302	0.0385819606675199	0	0.0292496010997881	0	0.00184856160014837	0	0.062355894568263	0	0.149216919958057	0	0	0	0	0.00161968242551235	0.014389179161498	0	0	0.615325952933061
GSM2449642_Treat	0.0214355032732829	0	0.000512337994542095	0.0586741842736238	0.133424614379155	0	0.0330736855267597	0	0	0.0126511139964015	0.114828022906514	0	0.133561775109464	0	0	0	0	0.00729112743589036	0.00695002737768797	0	0	0.477597607726679
GSM2449643_Treat	0.0163029038436104	0	0.00109679295681308	0.139622806976809	0.0518478547159174	0.0109185928978301	0.0344060743063715	0	0	0	0.135861821963855	0	0.212636044755747	0	0	0	0	0	0.0088250180636969	0	0	0.388482089519349
GSM2449644_Treat	0.0119425370723078	0	0.00110681498527394	0.0865948933757054	0.020379752637355	0	0.0401557690906399	0	0	0.0750314465460863	0.0951880518015648	0	0.303038639118342	0	0	0	0	0.0119333255496417	0.0013692528134728	0	0	0.35325951700961
GSM2449645_Treat	0.037676519433686	0	0.000764481624873555	0.0734120455240392	0.0791827104365624	0	0.0422563691670671	0	0	0.0134732296575498	0.112533938256939	0	0.108222493897011	0.00117185345395572	0	0	0	0.000802838603949669	0.016975787798546	0	0	0.51352773214582
GSM2449646_Treat	0.0086904076334124	0	0.00404766555004062	0.0318826867684012	0.154175069395507	0	0.0341717994632696	0	0	0	0.151166799081984	0	0.197473810337879	0	0	0	0	0.0036404663707204	0.00944926689664095	0	0	0.405302028502144
GSM2449647_Treat	0.017058941655172	0	0.000677876362653716	0.0535570597539313	0.119382548682505	0	0.0221131604057425	0	0	0	0.112398959567098	0	0.135077851243216	0.0125149064245022	0	0	0	0.00216584999725443	0.0156157685613777	0	0	0.509437077346547
GSM2449648_Treat	0.0134064967513637	0	0.00184631835134868	0.10539092372535	0.0228540015697593	0	0.0419111021689302	0	0	0.0515082645151831	0.0922827605780606	0	0.164141923840874	0	0	0	0	0.00684835826013174	0.016645033457795	0	0	0.483164816781204
GSM2449649_Treat	0.0107410022718415	0	0.00442320997134518	0.14687474443863	0.0955909222391459	0	0.0332530838554376	0	0	0	0.144080623021331	0	0.209204451888052	0.00407525516796489	0	0	0	0.00432106483253591	0.00560425950717383	0	0	0.341831382806542
GSM2449650_Treat	0.0363886479067448	0	0.00236190304105105	0.126293092925605	0.168089511971143	0	0.0251366969757896	0	0.00150757333925933	0	0.117162283737685	0	0.149932878995576	0.000404395024901831	0	0	0	0	0.00208426972596252	0	0	0.370638746356282
GSM2449651_Treat	0.00620569512199072	0.00252503459678703	0.00452076746737725	0.0537578578563544	0.073493065323967	0.000909563494256426	0.0432846361064958	0	0	0.0172915380474569	0.189367566758272	0	0.183467549618935	0.00624294958556167	0	0	0	0.0032894945394969	0.00357829687850174	0	0	0.412065984604547
GSM2449652_Treat	0.0182037143363758	0.00210497866599919	0.00235228098625722	0.0621246139301603	0.0939468966261323	0.00468555493696149	0.0287382127609596	0	0	0	0.116153727262845	0	0.16457855967665	0.00613051753421913	0	0	0	0.00197433231433507	0.0131989122534458	0	0	0.485807698715659
GSM2449653_Treat	0.0164122264053672	0.00687439749816445	0.00110169419449202	0.129658811161522	0.0540810842794341	0	0.0535274185899685	0	0	0.00247690458526503	0.170057160255581	0	0.124742098386694	0	0	0	0	0.00110843166434103	0.0203682925160315	0	0	0.419591480463139
