ID	ATP7A	FDX1	LIAS	LIPT1	DLD	MTF1	CDKN2A	Cluster
GSM2449638_Treat	7.996738	6.690714	6.409383	7.03332	7.789575	8.212372	4.588388	C1
GSM2449639_Treat	7.581066	6.992384	6.542716	7.304122	7.802051	7.790023	4.60372	C2
GSM2449640_Treat	7.888454	6.624296	6.390255	7.023527	7.592999	8.335363	4.531855	C1
GSM2449641_Treat	7.759555	6.606035	5.852409	6.997244	7.821006	8.639814	4.477433	C1
GSM2449642_Treat	7.423315	7.034016	6.349454	7.512551	7.815106	8.317	4.416527	C1
GSM2449643_Treat	7.048889	6.932151	6.271349	7.328646	7.709521	8.246339	4.62949	C1
GSM2449644_Treat	7.670343	7.122793	6.671418	7.195378	7.945923	8.411876	4.565031	C1
GSM2449645_Treat	7.680547	6.888022	6.41935	7.438915	7.932605	8.18583	4.362754	C1
GSM2449646_Treat	7.457572	6.684944	6.467571	7.197954	7.908968	8.190055	4.555372	C1
GSM2449647_Treat	7.899489	6.904458	6.555802	7.682362	7.727975	8.176212	4.365257	C2
GSM2449648_Treat	7.488463	7.091994	6.305296	7.736634	7.917582	7.907569	4.699977	C2
GSM2449649_Treat	7.147366	6.496963	6.564973	6.460631	7.191818	8.534014	4.832882	C1
GSM2449650_Treat	7.5051	6.557409	6.160393	7.254458	7.432909	8.089984	4.348598	C1
GSM2449651_Treat	6.92306	6.851436	6.245569	7.212439	7.607644	8.255427	4.820251	C1
GSM2449652_Treat	7.982595	6.691408	6.439968	7.054284	7.688703	8.383325	4.571595	C1
GSM2449653_Treat	7.056168	6.890864	6.782411	7.536038	7.80739	8.08077	4.793963	C2
GSM2449654_Treat	7.625155	6.764279	6.385508	7.197611	7.909921	8.2446	4.521122	C1
GSM2449655_Treat	7.785039	6.952435	7.006675	7.751351	7.906024	7.735738	4.340273	C2
GSM2449656_Treat	6.608697	6.615155	6.482839	7.058005	7.3133	8.004909	4.46391	C1
GSM2449657_Treat	7.066015	6.732243	6.836792	7.392295	7.675068	8.102436	4.390867	C1
GSM2449658_Treat	7.37975	6.909381	6.403694	7.314241	7.804775	8.145078	4.463365	C1
GSM2449659_Treat	7.853422	6.865657	6.646419	7.306883	8.06673	8.031309	4.770638	C2
GSM2449660_Treat	7.913251	6.952435	6.468558	7.37019	7.670343	7.847512	4.65803	C2
GSM2449661_Treat	7.320733	6.65861	6.470148	7.389494	7.634263	8.00917	4.685098	C1
GSM2449662_Treat	7.700643	6.57335	6.601782	7.106657	7.611446	8.265153	4.572171	C1
GSM2449663_Treat	7.407866	7.299173	6.762185	8.157192	8.056509	7.88754	4.533076	C2
GSM2449664_Treat	7.5051	6.974463	6.373683	7.387127	7.72307	8.219599	4.555194	C1
GSM2449665_Treat	7.924167	7.675068	7.095971	8.445167	8.082893	7.617404	4.667908	C2
GSM2449666_Treat	7.12712	6.615852	6.863047	7.427697	7.747723	8.188857	4.536214	C1
GSM2449667_Treat	7.985096	6.730252	6.406878	7.512551	7.942692	8.135874	4.541817	C1
GSM2449682_Treat	7.831893	6.822012	6.414948	7.10961	7.72307	8.290942	4.447445	C1
GSM2449683_Treat	7.477251	7.060531	6.540299	7.596921	7.792282	7.822824	4.568323	C2
GSM2449684_Treat	7.54321	6.909381	6.540941	7.32976	7.815106	8.001316	4.491087	C2
GSM2449685_Treat	7.636044	6.595786	6.266202	6.939844	7.657717	8.40787	4.687071	C1
GSM2449686_Treat	7.130546	6.743944	6.296154	7.287632	7.394204	8.262742	4.646825	C1
GSM2449687_Treat	7.549867	6.818551	6.514378	7.338343	7.742399	7.772445	4.456702	C2
GSM2449688_Treat	7.626051	6.91843	6.552283	7.553261	7.853422	8.173376	4.705621	C2
GSM2449689_Treat	7.646961	6.791452	6.321038	7.273269	7.866251	7.940252	4.566741	C1
GSM2449690_Treat	7.750892	6.792884	6.35109	7.249508	7.792761	8.013198	4.521509	C1
GSM2449691_Treat	7.366614	6.726833	6.702716	7.328236	7.632956	7.699782	4.576544	C2
GSM2449692_Treat	7.33278	6.467571	6.430735	6.539056	7.412587	8.655587	4.547319	C1
GSM2449693_Treat	7.577755	6.996701	6.380674	7.269994	7.771576	8.173936	4.74136	C1
GSM2449694_Treat	7.789575	6.957742	6.354833	7.570976	7.633824	8.021863	4.920017	C2
GSM2449695_Treat	7.50156	6.920524	6.578156	7.267687	7.55075	7.952891	4.656099	C1
GSM2449696_Treat	7.491435	6.426894	6.534899	6.647788	7.686538	8.40461	4.555372	C1
GSM2449697_Treat	6.935578	6.777244	6.760122	7.3153	7.694432	7.951465	4.630656	C2
GSM2449698_Treat	7.631699	6.590292	6.698277	7.216934	7.702411	8.0964	4.742333	C1
GSM2449699_Treat	7.111121	6.904059	6.490483	7.241076	7.472759	7.882319	4.732442	C1
GSM2449700_Treat	7.493892	6.968361	6.359518	7.345861	8.068775	7.925104	4.544117	C2
GSM2449701_Treat	7.474824	6.796265	6.399621	7.075503	7.812363	8.345016	4.816282	C1
GSM2449702_Treat	7.043807	7.104119	6.75469	7.916655	7.762622	7.614808	4.551993	C2
GSM2449703_Treat	7.258268	6.427535	6.481203	7.020252	7.589582	8.405251	4.726414	C1
GSM2449704_Treat	7.406678	7.000359	6.731933	7.633824	7.580237	7.959205	4.746485	C2
GSM2449705_Treat	7.249127	6.789767	6.764279	7.196842	7.715541	8.112432	4.578637	C1
GSM2449706_Treat	7.684457	6.729551	6.327162	7.204314	7.823774	8.086703	4.578637	C1
GSM2449707_Treat	7.29062	6.865987	6.242039	7.571846	7.597362	7.987608	4.616409	C2
GSM2449708_Treat	7.42021	7.302535	6.554851	7.636044	7.871434	7.729709	4.650493	C2
GSM2449709_Treat	7.455584	6.979966	6.896596	7.584138	7.98973	7.906543	4.877178	C2
GSM2449710_Treat	7.594299	6.824661	6.41188	7.738891	7.665532	7.69485	4.632063	C2
GSM2449711_Treat	7.339447	6.953839	6.399621	7.457141	7.756337	8.070416	4.605226	C2
GSM2449712_Treat	7.755006	6.619073	6.285443	7.120319	7.598231	8.247631	4.507356	C1
GSM2449713_Treat	7.256734	6.886628	6.611778	7.154412	7.588326	7.945436	4.645613	C1
GSM2449714_Treat	7.673801	6.835756	6.436872	7.356197	7.883793	8.229184	4.585213	C1
GSM2449715_Treat	7.107017	6.893892	6.677975	7.194634	7.546994	7.96622	4.840526	C1
GSM2449716_Treat	7.447188	6.707811	6.637131	7.021664	7.863524	8.199535	4.641158	C1
GSM2449717_Treat	7.201385	6.446281	6.121934	6.962325	7.48277	8.591117	4.585029	C1
GSM2449718_Treat	7.287304	7.263622	6.59647	8.069807	7.847969	7.573986	4.607643	C2
GSM2449719_Treat	7.633402	7.152186	6.781746	7.5457	7.927087	8.047599	4.64307	C2
GSM2449720_Treat	7.5632	6.828539	6.58344	7.124575	7.935889	8.180947	4.558255	C1
GSM2449721_Treat	7.689574	6.763206	6.506269	6.905172	7.607644	8.393074	4.727829	C1
GSM2449722_Treat	7.275974	6.826024	6.482177	7.504323	7.598624	7.936372	4.575942	C2
GSM2449723_Treat	7.457572	6.462776	6.4695	7.134875	7.460083	8.639044	4.747985	C1
GSM2449724_Treat	7.577343	7.079141	6.646745	7.811006	8.045581	7.832809	4.584642	C2
